,Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Writing.Credits,Lyrics,Features
119,"Marshmello, Bastille",Happier,20,2,44,6/29/19,17-Aug-18,"Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop","Steve mac, Marshmello, Dan smith","Happier 
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
When the morning comes
When we see what we've become
In the cold light of day, we're a flame in the wind
Not the fire that we've begun
Every argument, every word we can't take back
'Cause with all that has happened
I think that we both know the way that this story ends
Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
When the evening falls
And I'm left there with my thoughts
And the image of you being with someone else
Well, it's eating me up inside
But we ran our course, we pretended we're okay
Now if we jump together, at least we can swim
Far away from the wreck we made
Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
So I'll go, I'll go
I will go, go, go
So I'll go, I'll go
I will go, go, go
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
Even though I might not like this
I think that you'll be happier, I want you to be happier
Then only for a minute Only for a minute
I want to change my mind
'Cause this just don't feel right to me Right to me
I wanna raise your spirits Wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
So I'll go, I'll go
I will go, go, go
",
120,Blake Shelton,God's Country,21,19,12,6/29/19,29-Mar-19,Country,"Jordan schmidt, Hardy, Devin dawson","God's Country 
Right outside of this one church town
There's a gold dirt road to a whole lot of nothin'
Got a deed to the land, but it ain't my ground
This is God's country
We pray for rain, and thank Him when it's fallen
'Cause it brings a grain and a little bit of money
We put it back in the plate
I guess that's why they call it God's country
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia, but he didn't stick around
This is God's country
We turned the dirt and worked until the week's done
We take a break and break bread on Sunday
And then do it all again
'Cause we're proud to be from God's country Yeah, yeah
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country Yeah
This is God's country
God's country
I don't care what my headstone reads
Or what kind of pine wood box I end up in
When it's my time, lay me six feet deep
In God's country Yeah, yeah
I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country God's country
Yeah, I saw the light in the sunrise
Sitting back in the 40 on the muddy riverside
Getting baptized in holy water and shine
With the dogs runnin'
Saved by the sound of the been found
Dixie whistled in the wind, that'll get you Heaven bound
The devil went down to Georgia but he didn't stick around
This is God's country
",
121,Morgan Wallen,Whiskey Glasses,22,17,16,6/29/19,27-Apr-18,Country,"Kevin kadish, Ben burgess","Whiskey Glasses 
Poor me, pour me another drink
'Cause I don't wanna feel a thing
No more, hell nah
I just wanna sip til the pain wears off
Poor me, pour me another round
Line em up and knock em down
Two more let's go
'Cause I ain't never hurt like this before
Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on
I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Ain't nothing else to do, but sip around the truth
And see the world through whiskey glasses
I need a better view, where I don't drink to you
Last call
I swear this will be my last call
Now I ain't drunk dialing no more at 3 am
Mr Bartender hitting me again
Don't wanna think about her
Or wear a ring without her
Don't wanna hit the karaoke bar
Can't sing without her
So make them drinks strong
'Cause brother she's gone
And if I'm ever gonna move on
I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Ain't nothing else to do, but sip around the truth
Oh, see the world through whiskey glasses
I need a better view, where I don't drink to you
Line em up, line em up, line em up, line em up
Knock em back, knock em back, knock em back, knock em back
Fill em up, fill em up, fill em up, fill em up
'Cause if she ain't ever coming back
Line em up, line em up, line em up, line em up
Knock em back, knock em back, knock em back, knock em back
Fill em up, fill em up, fill em up, fill em up
'Cause if she ain't ever coming back
I'ma need some whiskey glasses
'Cause I don't wanna see the truth
She's probably making out on the couch right now
With someone new
Yeah, I'ma need some whiskey glasses
If I'm gonna make it through
If I'ma be single
I'ma need a double shot of that heartbreak proof
And see the world through whiskey glasses
Ain't nothing else to do, but sip around the truth
Oh, see the world through whiskey glasses
I need a better view, where I don't drink to you
Yeah
Ain't nothing else to do, but sip around the truth
And see the world through whiskey glasses
I need a better view, where I don't drink to you
Yeah
",
122,Panic! At The Disco,High Hopes,23,4,46,6/29/19,23-May-18,"Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop","Sam hollander, Cook classics, Tayla parx, Jake sinclair, Lolo, Ilsey, Jonas jeberg, Jenny owen youngs, Brendon urie","High Hopes 
High, high hopes
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes High, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes
Mama said, fulfill the prophecy
Be something greater, go make a legacy
Manifest destiny, back in the days
We wanted everything, wanted everything
Mama said, burn your biographies
Rewrite your history, light up your wildest dreams
Museum victories, every day
We wanted everything, wanted everything
Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes High, high hopes
Mama said, it's uphill for oddities
The stranger crusaders, ain't ever wannabes
The weird and the novelties don't ever change
We wanted everything, wanted everything High, high hopes
Stay up on that rise
Stay up on that rise and never come down, oh
Stay up on that rise
Stay up on that rise and never come down
Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting
They say it's all been done but they haven't seen the best of me-eh-eh-eh
So I got one more run and it's gonna be a sight to see-eh-eh-eh
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes High, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes High, high hopes
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes High, high hopes
",
123,Panic! At The Disco,"Hey Look Ma, I Made It",24,24,10,6/29/19,22-Jun-18,"Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop","Jake sinclair, Michael angelakos, Dillon francis, Sam holland, Morgan kibby, Brendon urie","Hey Look Ma, I Made It 
All my life, been hustlin'
And tonight is my appraisal
'Cause I'm a hooker selling songs
And my pimp's a record label
This world is full of demons
Stocks and bonds and bible traders
So I do the deed
Get up and leave
A climber and a sadist, yeah
Are you ready for the sequel?
Ain't ready for the latest?
In the garden of evil
I'm gonna be the greatest
In a golden cathedral
I'll be praying for the faithless
And if you lose, boo-hoo
Hey look ma, I made it
Hey look ma, I made it
Everything's coming up aces, aces
If it's a dream, don't wake me, don't wake me
I said, “Hey look ma, I made it.”
Friends are happy for me
Or they're honeysuckle phonies
Then they celebrate my medals
Or they wanna take my trophies
Some are loyal soldiers
While these other thorns are rosy
And if you never know who you can trust
Then trust me, you'll be lonely, oh
Are you ready for the sequel?
Ain't you ready for the latest?
In the garden of evil
I'm gonna be the greatest
In a golden cathedral
I'll be praying for the faithless
And if you lose, boo-hoo
Hey look ma, I made it
Hey look ma, I made it
Everything's coming up aces, aces
If it's a dream, don't wake me, don't wake me
I said, “Hey look ma, I made it, I made it.”
I said, “Hey look ma, I made it, I made it.”
I see it, I want it, I take it, take it
If it's a dream, don't wake me, don't wake me
I said, “Hey look ma, I made it.”
Mama best believe it, Mama best believe it
Hey look ma, I made it
Think I must be dreamin', wide awake and dreamin'
Hey look ma, I made it
Mama best believe it, Mama best believe it
Hey look ma, I made it
Think I must be dreamin'
Hey look ma, I made it
",
124,Lee Brice,Rumor,25,25,15,6/29/19,3-Nov-17,Country,"Kyle jacobs, Ashley gorley, Lee brice","Rumor 
Girl you know I've known you forever
How many nights we hung out together
Same little crowd, little bar, little town
Round this old dance floor
My boys are laughing and tap me on the shoulder
Making a motion like 'Could y'all get any closer?""
They wanna know what's up why I'm still holding ya
Even when the song is over
There's a rumor going round about me and you
Stirring up our little town the last week or two
So tell me why we even trying to deny this feeling
I feel it, don't you feel it too?
There's a rumor going round, and round, and round
What d'you say we make it true?
We make it true
Oh, we make it true
Well I can shut em down, tell them all they're crazy
I can do whatever you want me to do, baby
Or you could lay one on me right now
We could really give them something to talk about
There's a rumor going round about me and you
Stirring up our little town the last week or two
So tell me why we even trying to deny this feeling
I feel it, don't you feel it too?
There's a rumor going round, and round, and round
What d'you say we make it true, baby?
Oh be honest girl now
Do you want to do this or not?
Should we keep them talking, girl
Or should we just make them stop?
There's a rumor going round about me and you
Stirring up our little town the last week or two
So tell me why we even trying to deny this feeling
I feel it, and you feel it too
There's a rumor going round, and round, and round
Whatd'you say we make it-
Make it true?
Whatd'you say we make it true?
Come on over here
Let's really give them something to talk about, baby
There's a rumor going round
",
125,"Young Thug, J. Cole, Travis Scott",The London,26,12,4,6/29/19,23-May-19,"Hip-Hop,East Coast,Atlanta,Rap","T minus, Travis scott, J cole, Young thug","The London 
Yeah, yeah, yeah
Oh, oh, woah
Woah, woah
Oh
You good, T-Minus?
Oh
Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew
Yeah, circumnavigate the globe as the cash grows Grow
Get a nigga whacked like you get the grass mowed Mowed
I'm talking slick when I'm with the Big Slime, nigga Slime
Could hit your bitch, you could never hit mine, nigga Mine
In my DM, they electric slide, nigga Huh, slide
No catfishin', this is not a fish fry, nigga
Never switch sides on my dog
Catch a contact, hitch a ride, go to Mars
Everybody sing
How could you come up out your face
And say I ain't the hardest nigga you done ever heard?
I left a flock of rappers dead and buried
A verse from me is like 11 birds
Just did the math, that's like two thousand dollars every word
I'm on the verge, I'll beat the charge
I killed some niggas and I walked away from it
Then I observe, just how you curve
Then told the nigga that they gotta wait for it
""I know—I know you in high demand""
I'm balling on a pussy nigga like Juwanna Mann
I'm drowning all inside the pussy like I never swam
Ayy, fuck your IG, I put something on your sonogram
I'm the man, ayy, ayy
Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew
Pimp talk, church talk, I can make a brick walk Woo
Up north, down south, Bankhead to Rachel Walk Ayy
Hit it with a little water, stretch it like a vocal cord
STD, I run my ward, fuck a fed and his daughter Let's go
I'ma run the compound Yeah
I supply the cigarettes and bread Woo
I got a main and she gon' ride Uh
She took a quarter and she fled Uh
I'm in the Lamb, so she gon' ride Yeah
I see the pain in shawty's light brown eyes Ooh
I'm at The London with some big thots
No fries, she eat steaks with the fish sides
Did your mama tell you when something on fire
Stop, drop and roll? Aw yeah
I've been on the road like a pair of spinners at Stop-N-Go's Yeah
I could charge em like a Dodge Hemi Demon
Got your broad in the garage eating semen
Every time a nigga go back to the ward
Niggas act like they want start
And we leave them on the cement Grra, grra
Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew
I, crash down, we get money Hey
For the full town Woah, when you won't play, I
I decided, for the full side Hoes will say
And they know, I might And fly, I...
Get down, might Don't play
See the whole town every time, I Oh, every day
Yeah, they know what's up Folks will say
",
126,"Daddy Yankee, Katy Perry",Con Calma,27,22,20,6/29/19,19-Apr-19,"Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music","Katy perry, Snow, Daddy yankee, Gaby music","Con Calma Remix 
D-D-D-D-D-DY
¡Ay, Daddy!
Play N' Skillz
Katy Perry
Run!
¿Como te llamas, baby?
A little mezcal got me feeling spicy
I know that we don't speak the same language
But I'm gonna let my body talk for me Talk for me
Hola, me llamo Katy
A little mezcal got me feeling naughty Let's go
I know that we don't speak the same language Woo
So I'm gonna let my body talk for me Talk for me
Con calma, yo quiero ver como ella lo menea
Mueve ese poom-poom, girl
Es un asesina, cuando baila quiere que to' el mundo la vea
I like your poom-poom, girl Sube, sube
Con calma, yo quiero ver como ella lo menea
Mueve ese poom-poom, girl
Tiene adrenalina, en medio e la pista, vente, hazme lo que sea ¡Woo!
I like your poom-poom, girl ¡Hey!
Dress up with my girls, on the hunt tonight
Got a feeling I'ma catch a wild one
And I know that I'm not typically your type
But you never had this kind of stimulation
All eyes on me when I light up the room
You play the right vibe and my body will move
Easy baby, I see you're in the mood
Me too ¡Woo!
Con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy
Con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy
Tu tiene' candela y yo tengo la vela
Llama el 911, se estan quemando las suela'
Me dana cuando la faldita esa me la modela ¡Ja!
Mami, estas enferma, pero tu show no lo cancela'
Te llaman a ti la reina del party
Mucha sandunga tiene ese body
Tirate un paso, no-no-no pare ¡Woo!
¡Wow! Dale, dale Yo'
Somos dos bandido' entre la rumba y romance
Y zumbale DJ, otra ve' pa' que dance
echale, echale, echale pa'tras
echale, echale, pa'lante y pa'tras Hey, eh, hey
Con calma, yo quiero ver como ella lo menea Con calma
Mueve ese poom-poom, girl Girl
Es un asesina, cuando baila quiere que to' el mundo la vea
I like your poom-poom, girl
Oh, con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy ¡Woo!
Come with a nice young lady Let's go
Intelligent, yes, she gentle and irie ¡Fuego!
Everywhere me go me never lef' her at all-ie ¡Dile! ¡Ja!
Yes-a Daddy Snow me are the roam dance man-a Ay, Papi! Snow
Roam between-a dancing in-a in-a nation-a Prr-prr-prr
You never know say daddy me Snow me are the boom shakata ¡Ja! ¿Que-que-que-que?
Me never lay-a down flat in-a one cardboard box-a ¡Sube, sube!
Yes-a Daddy Yankee me-a go reaching out da top Hey! Ra!
Con calma, yo quiero ver como ella lo menea Menea
Mueve ese poom-poom, girl ¡Woo! Girl
Es un asesina, cuando baila quiere que to' el mundo la vea Oh, yeah
I like your poom-poom, girl
Con calma
I see you're loving the way I work the floor now
I got the poom-poom, boy
You could be my Puerto Rican dream, and I'll be your California gurl now
I got the poom-poom, boy
",Snow
127,Luke Combs,Beer Never Broke My Heart,28,22,7,6/29/19,8-May-19,"Rock,Country","Randy montana, Jonathan singleton, Luke combs","Beer Never Broke My Heart 
I've had a largemouth bass bust my line
A couple beautiful girls tell me goodbye
Trucks break down, dogs run off
Politicians lie, been fired by the boss
It takes one hand
To count the things I can count on
No, there ain't much, man
That ain't never let me down
Longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me that bars and this guitar
And longneck ice-cold beer never broke my heart
She was a Carolina blue jean baby
Fire in her eyes that drove me crazy
It was red taillights when she left town
If I didn't know then, I sure know now
But longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me that bars and this guitar
And longneck ice-cold beer never broke my heart
Well, it takes one hand
To count the things I can count on
But I got one hand
That's gripping down on a cold one
'Cause longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me, that bars, and this guitar
And longneck ice-cold beer never broke my heart, no
It never broke my heart
",
128,Katy Perry,Never Really Over,29,15,3,6/29/19,31-May-19,"Electro-Pop,Synth-Pop,Pop","Hayley warner, Katy perry, Dagny, Michelle buzz, Jason gill, Farrago, Zedd, Leah haywood, Daniel james","Never Really Over 
I'm losing my self control
Yeah, you're starting to trickle back in
But I don't wanna fall down the rabbit hole
Cross my heart, I won't do it again
I tell myself, tell myself, tell myself, Draw the line""
And I do, I do
But once in a while, I trip up, and I cross the line
And I think of you
Two years, and just like that
My head still takes me back
Thought it was done, but I
Guess it's never really over
Oh, we were such a mess
But wasn't it the best?
Thought it was done, but I
Guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
I guess I could try hypnotherapy
I gotta rewire this brain
'Cause I can't even go on the internet
Without even checking your name
I tell myself, tell myself, tell myself, Draw the line""
And I do, I do
But once in a while, I trip up, and I cross the line
I think of you
Two years, and just like that
My head still takes me back
Thought it was done, but I
Guess it's never really over
Oh, we were such a mess
But wasn't it the best?
Thought it was done, but I
Guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Thought we kissed goodbye
Thought we meant this time was the last
But I guess it's never really over
Thought we drew the line right through you and I
Can't keep going back
I guess it's never really over, yeah
Two years, and just like that
My head still takes me back
Thought it was done, but I
Guess it's never really over
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
And I'll have to get over you all over again
Just because it's over doesn't mean it's really over
And if I think it over, maybe you'll be coming over again
And I'll have to get over you all over again
Over you all over again
Thought we kissed goodbye
Thought we meant this time was the last
But I guess it's never really over
Thought we drew the line right through you and I
Can't keep going back
I guess it's never really over
",
129,J. Cole,Middle Child,30,4,22,6/29/19,23-Jan-19,"Trap,East Coast,Rap",J cole,"MIDDLE CHILD 
You good, T-Minus?
Niggas been counting me out
I'm counting my bullets, I'm loading my clips
I'm writing down names, I'm making a list
I'm checking it twice and I'm getting em hit
The real ones been dyin', the fake ones is lit
The game is off balance, I'm back on my shit
The Bentley is dirty, my sneakers is dirty
But that's how I like it, you all on my dick
I'm all in my bag, this hard as it get
I do not snort powder, I might take a sip
I might hit the blunt, but I'm liable to trip
I ain't popping no pill, but you do as you wish
I roll with some fiends, I love em to death
I got a few mil' but not all of them rich
What good is the bread if my niggas is broke?
What good is first class if my niggas can't sit?
That's my next mission, that's why I can't quit
Just like LeBron, get my niggas more chips
Just put the Rollie right back on my wrist
This watch came from Drizzy, he gave me a gift
Back when the rap game was praying I'd diss
They act like two legends cannot coexist
But I'd never beef with a nigga for nothin'
If I smoke a rapper, it's gon' be legit
It won't be for clout, it won't be for fame
It won't be cause my shit ain't selling the same
It won't be to sell you my latest lil' sneakers
It won't be cause some nigga slid in my lane
Everything grows, it's destined to change
I love you lil' niggas, I'm glad that you came
I hope that you scrape every dollar you can
I hope you know money won't erase the pain
To the OGs, I'm thanking you now
Was watching you when you was paving the ground
I copied your cadence, I mirrored your style
I studied the greats, I'm the greatest right now
Fuck if you feel me, you ain't got a choice
Now I ain't do no promo, still made all that noise
This year gon' be different, I set my intentions
I promise to slap all that hate out your voice
Niggas been counting me out
I'm counting my bullets, I'm loading my clips
I'm writing down names, I'm making a list
I'm checking it twice and I'm getting em hit
The real ones been dyin', the fake ones is lit
The game is off balance, I'm back on my shit
The Bentley is dirty, my sneakers is dirty
But that's how I like it, you all on my dick
I just poured something in my cup
I've been wanting something I can feel
Promise I am never letting up
Money in your palm don't make you real
Foot is on they neck, I got em stuck
I'ma give em something they can feel
If it ain't bout the squad, don't give a fuck
Pistol in your hand don't make you real
I'm dead in the middle of two generations
I'm little bro and big bro all at once
Just left the lab with young 21 Savage
I'm bout to go and meet Jigga for lunch
Had a long talk with the young nigga Kodak
Reminded me of young niggas from Ville
Straight out the projects, no fakin', just honest
I wish that he had more guidance, for real
Too many niggas in cycle of jail
Spending they birthdays inside of a cell
We coming from a long bloodline of trauma
We raised by our mamas, Lord we gotta heal
We hurting our sisters, the babies as well
We killing our brothers, they poisoned the well
Distorted self image, we set up to fail
I'ma make sure that the real gon' prevail, nigga
I just poured something in my cup
I've been wanting something I can feel
Promise I am never letting up
Money in your palm don't make you real
Foot is on they neck, I got em stuck
I'ma give em something they can feel
If it ain't bout the squad, don't give a fuck
Pistol in your hand don't make you real
Money in your palm don't make you real
Pistol in your hand don't make you real
Money in your palm don't make you real
",
130,"benny blanco, Halsey, Khalid",Eastside,31,9,49,6/29/19,12-Jul-18,"R&;B,Pop","Happy perez, Benny blanco, Khalid, Halsey, Ed sheeran","Eastside 
Uh
Yeah, yeah
When I was young, I fell in love
We used to hold hands, man, that was enough Yeah
Then we grew up, started to touch
Used to kiss underneath the light on the back of the bus Yeah
I know your daddy didn't like me much
And he didn't believe me when I said you were the one
Oh, every day, she found a way out of the window to sneak out late
She used to meet me on the Eastside
In the city where the sun don't set
And every day, you know that we'd ride
Through the backstreets in a blue Corvette
Baby, you know I just wanna leave tonight
We can go anywhere we want
Drive down to the coast, jump in the sea
Just take my hand and come with me, yeah
We can do anything if we put our minds to it
Take your old life, then you put a line through it
My love is yours if you're willing to take it
Give me your heart cause I ain't gonna break it
So come away, starting today
Start a new life together in a different place
We know that love is how all these ideas came to be
So baby, run away with me
17, and we got a dream to have a family
A house, and everything in between
And then, oh, suddenly, we turned 23
And now we got pressure for taking our life more seriously
We got our dead-end jobs and got bills to pay
Our old friends are now our enemies
And now I, I'm thinking back to when I was young
Back to the day when I was falling in love
He used to meet me on the Eastside
In the city where the sun don't set
And every day, you know where we'd ride
Through the backstreets in a blue Corvette
And baby, you know I just wanna leave tonight
We can go anywhere we want
Drive down to the coast, jump in the sea
Just take my hand and come with me, singing
We can do anything if we put our minds to it
Take your old life, then you put a line through it
My love is yours if you're willing to take it
Give me your heart cause I ain't gonna break it
So come away, starting today
To start a new life together in a different place
We know that love is how all these ideas came to be
So baby, run away with me
Run away now, run away now
Run away now
Run away now, run away now
Run away now
He used to meet me on the Eastside
She used to meet me on the Eastside
He used to meet me on the Eastside
She used to meet me on the Eastside
In the city where the sun don't set
",
131,City Girls,Act Up,32,26,16,6/29/19,16-Nov-18,"Motown,East Coast,Rap","Jt, Earlonthebeat, Lil yachty","Act Up 
Earl on the beat
Real ass bitch, give a fuck bout a nigga
Big Birkin bag, hold five, six figures
Stripes on my ass so he call this pussy Tigger
Fucking on a scamming ass, rich ass nigga
Same group of bitches, ain't no adding to the picture
Drop a couple racks, watch this ass get bigger
Drinking on liquor, and I'm looking at your nigga
If his money right, he can eat it like a Snicker
I ain't got time for you fake ass hoes
Talking all loud in them fake ass clothes
Fake ass shoes match that fake ass gold
I'm the realest bitch ever to you snake ass hoes
Act up, you can get snatched up
Act up, you can get snatched up
Act up, you can get snatched up
Dirty ass nails, baby girl, you need to back up
It's Yung Miami, and I came to run my sack up Yup
Tired ass hoes on my page tryna track us Ha
Brand new chain, City Girls going Platinum Facts
I keep a baby Glock, I ain't fighting with no random, period Period
You bitches weak, is you serious? Haha
I let him taste the pussy, now he acting all delirious Ow
Did the dash in the Rover like it's Fast and Furious
She see my number in his phone, now you acting curious Bitch
He gon' buy me Gucci if I ask for it Yup
He a classy nigga rocking Tom Ford Classy
I bet your lil' sister wanna look like me Lil' bitch
I bet your lil' brother wanna fuck on me
Hood bitch, good pussy, I ain't average
Um, he can't come around without that cabbage Nah
Um, pop a pussy bitch quick, like a bubblegum
I ain't never worry, I just deal with it for fun
Act up, you can get snatched up
Act up, you can get snatched up
Act up, you can get snatched up
Dirty ass nails, baby girl, you need to back up
JT on the track, and you know I'm bout my paper
Pussy sweet, pussy tight, so he called it Lifesaver
If your ass a broke nigga, hell nah, I can't date ya
If your ass a rich nigga, I'ma fuck ya til you ain't one
If that nigga a scammer, I'm turning to a dancer Yup
I make it clap like he got the right answer
Sit on it with manners, get it harder than a hammer
He wanna freak, pussy pink, breast cancer
Oh, you like big butts, well I like big bucks
I don't care about your chain, nigga, or your big truck Nah
Yeah, I know you getting it, but is you spending it?
Give a fuck what a nigga got if he ain't giving it
Ba-badass bitch, bad attitude Yeah
Nails done, hair done, ass too Ow
Your baby daddy fucking me and sucking me
He don't answer you, bitch, that's because of me Period
Act up, you can get snatched up
Act up, you can get snatched up
Act up, you can get snatched up
Dirty ass nails, baby girl, you need to back up
",
